Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C302, C303, C304, C305, C311, C312, C313, C402, C403, C404, C410, C411, C416, C503, C504",0402,16,100n,C1525
"C202, C203, C307, C308, C507",0603,5,1u,C15849
"C204, C205, C206, C207, C208",0805,5,22u,C45783
C209,0402,1,DNP,
"C301, C409, C412, C413, C414, C415, C502",0603,7,10u,C19702
C306,0402,1,10nF,C15195
"C309, C310",0402,2,10p,C32949
"C401, C406, C501, C505",0402,4,1n,C1523
"C405, C407, C408, C506",0402,4,150p,C106998
D201,0603,1,RED,C2286
D301,E6C1206RGBC3UDA,1,LED_RGB_E6C1206RGBC3UDA,C375571
"D302, D303, D304, D305, D306, D401, D501",D_SOD-323,7,"PESD3V3L1BA,115",C51450
FL301,CMF3216F,1,CMF3216F-900-2P-T,C963740
J301,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C319148
J302,PinHeader_2x05_P1.27mm_Vertical_SMD,1,2x5x1.27mm,C920813
"J401, J501",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,2,DOSIN-801-0031,C521205
"L201, L301",0402,2,10n,C404632
L202,L_Coilcraft_XxL4020,1,68u,C3151182
R201,0805,1,10R,C17415
"R202, R203, R205, R308, R310, R313, R402, R406, R408",0402,9,1k,C11702
R204,0402,1,100k,0402
"R206, R404, R502",0402,3,22k,C25768
"R301, R302, R307, R506",0402,4,10k,C25744
"R303, R304",0402,2,5k1,C25905
"R305, R410, R505",0402,3,0R,C17168
R306,0402,1,1k5,C25867
"R309, R311, R312, R314, R409, R504",0402,6,49R9,C25120
"R401, R407",0402,2,2M2,C274901
"R403, R501",0603,2,6k8,C23212
"R405, R503",0402,2,12k,C25752
U201,SOT-89-3,1,HT7533-1,C14289
"U202, U401, U402, U501",SOT-23-5,4,MCP6001T-E/OT, C29429
U203,SOT-23-5,1,TLV62569DBV,C2864104
U301,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBT6,C8304
U302,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6
U403,VSSOP-10_3x3mm_P0.5mm,1,ADC141S626CIMM_NOPB,C206494
U404,SOT-23,1,REF3033A/DBZT,C2872391
U502,VSSOP-10_3x3mm_P0.5mm,1,DAC7563TDGSR,C2879196
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C362342
